series,date,type,value
growth_yoy,2023-01-01,e0,4.942
growth_yoy,2023-01-01,e1,8.926
growth_yoy,2023-01-01,e2,-0.35
growth_yoy,2023-01-01,e3,6.88
growth_yoy,2023-01-01,e5,-0.221
growth_yoy,2023-01-01,e6,-1.688
growth_yoy,2023-04-01,e0,-1.198
growth_yoy,2023-04-01,e1,5.779
growth_yoy,2023-04-01,e2,4.564
growth_yoy,2023-04-01,e3,7.697
growth_yoy,2023-04-01,e5,-11.523
growth_yoy,2023-04-01,e6,-10.666
growth_yoy,2023-07-01,e0,1.071
growth_yoy,2023-07-01,e1,6.02
growth_yoy,2023-07-01,e2,6.413
growth_yoy,2023-07-01,e3,6.919
growth_yoy,2023-07-01,e5,-15.62
growth_yoy,2023-07-01,e6,-13.441
growth_yoy,2023-10-01,e0,1.825
growth_yoy,2023-10-01,e1,6.134
growth_yoy,2023-10-01,e2,7.538
growth_yoy,2023-10-01,e3,7.94
growth_yoy,2023-10-01,e5,-8.457
growth_yoy,2023-10-01,e6,-2.74
growth_yoy,2024-01-01,e0,4.881
growth_yoy,2024-01-01,e1,5.773
growth_yoy,2024-01-01,e2,9.101
growth_yoy,2024-01-01,e3,10.515
growth_yoy,2024-01-01,e5,7.728
growth_yoy,2024-01-01,e6,10.111
growth_yoy,2024-04-01,e0,7.463
growth_yoy,2024-04-01,e1,7.117
growth_yoy,2024-04-01,e2,5.427
growth_yoy,2024-04-01,e3,12.986
growth_yoy,2024-04-01,e5,11.336
growth_yoy,2024-04-01,e6,11.243
growth_yoy,2024-07-01,e0,5.933
growth_yoy,2024-07-01,e1,6.468
growth_yoy,2024-07-01,e2,6.842
growth_yoy,2024-07-01,e3,16.821
growth_yoy,2024-07-01,e5,13.251
growth_yoy,2024-07-01,e6,14.834
growth_qoq,2015-04-01,e0,2.366
growth_qoq,2015-04-01,e1,1.46
growth_qoq,2015-04-01,e2,6.813
growth_qoq,2015-04-01,e3,2.836
growth_qoq,2015-04-01,e5,0.477
growth_qoq,2015-04-01,e6,3.561
growth_qoq,2015-07-01,e0,3.162
growth_qoq,2015-07-01,e1,7.551
growth_qoq,2015-07-01,e2,2.82
growth_qoq,2015-07-01,e3,-2.218
growth_qoq,2015-07-01,e5,7.35
growth_qoq,2015-07-01,e6,6.39
growth_qoq,2015-10-01,e0,4.084
growth_qoq,2015-10-01,e1,-1.961
growth_qoq,2015-10-01,e2,40.129
growth_qoq,2015-10-01,e3,-1.134
growth_qoq,2015-10-01,e5,5.095
growth_qoq,2015-10-01,e6,3.965
growth_qoq,2016-01-01,e0,-4.701
growth_qoq,2016-01-01,e1,1.085
growth_qoq,2016-01-01,e2,-32.653
growth_qoq,2016-01-01,e3,2.82
growth_qoq,2016-01-01,e5,-10.33
growth_qoq,2016-01-01,e6,-7.993
growth_qoq,2016-04-01,e0,2.956
growth_qoq,2016-04-01,e1,1.129
growth_qoq,2016-04-01,e2,9.689
growth_qoq,2016-04-01,e3,8.995
growth_qoq,2016-04-01,e5,1.354
growth_qoq,2016-04-01,e6,2.268
growth_qoq,2016-07-01,e0,4.28
growth_qoq,2016-07-01,e1,7.315
growth_qoq,2016-07-01,e2,-0.317
growth_qoq,2016-07-01,e3,-6.049
growth_qoq,2016-07-01,e5,4.937
growth_qoq,2016-07-01,e6,1.714
growth_qoq,2016-10-01,e0,5.515
growth_qoq,2016-10-01,e1,-1.763
growth_qoq,2016-10-01,e2,31.527
growth_qoq,2016-10-01,e3,-0.977
growth_qoq,2016-10-01,e5,8.913
growth_qoq,2016-10-01,e6,8.325
growth_qoq,2017-01-01,e0,-1.644
growth_qoq,2017-01-01,e1,4.113
growth_qoq,2017-01-01,e2,-24.036
growth_qoq,2017-01-01,e3,9.92
growth_qoq,2017-01-01,e5,1.463
growth_qoq,2017-01-01,e6,5.037
growth_qoq,2017-04-01,e0,1.819
growth_qoq,2017-04-01,e1,1.108
growth_qoq,2017-04-01,e2,5.272
growth_qoq,2017-04-01,e3,3.561
growth_qoq,2017-04-01,e5,1.416
growth_qoq,2017-04-01,e6,-0.028
growth_qoq,2017-07-01,e0,3.87
growth_qoq,2017-07-01,e1,7.487
growth_qoq,2017-07-01,e2,-0.513
growth_qoq,2017-07-01,e3,-3.692
growth_qoq,2017-07-01,e5,4.596
growth_qoq,2017-07-01,e6,3.233
growth_qoq,2017-10-01,e0,3.916
growth_qoq,2017-10-01,e1,-1.94
growth_qoq,2017-10-01,e2,35.052
growth_qoq,2017-10-01,e3,-3.606
growth_qoq,2017-10-01,e5,1.256
growth_qoq,2017-10-01,e6,1.808
growth_qoq,2018-01-01,e0,-4.028
growth_qoq,2018-01-01,e1,2.053
growth_qoq,2018-01-01,e2,-28.793
growth_qoq,2018-01-01,e3,4.747
growth_qoq,2018-01-01,e5,-4.678
growth_qoq,2018-01-01,e6,-6.177
growth_qoq,2018-04-01,e0,2.084
growth_qoq,2018-04-01,e1,1.845
growth_qoq,2018-04-01,e2,8.181
growth_qoq,2018-04-01,e3,5.085
growth_qoq,2018-04-01,e5,1.747
growth_qoq,2018-04-01,e6,6.153
growth_qoq,2018-07-01,e0,3.951
growth_qoq,2018-07-01,e1,7.789
growth_qoq,2018-07-01,e2,1.27
growth_qoq,2018-07-01,e3,-2.884
growth_qoq,2018-07-01,e5,4.785
growth_qoq,2018-07-01,e6,3.889
growth_qoq,2018-10-01,e0,3.066
growth_qoq,2018-10-01,e1,-2.453
growth_qoq,2018-10-01,e2,33.71
growth_qoq,2018-10-01,e3,-5.038
growth_qoq,2018-10-01,e5,3.419
growth_qoq,2018-10-01,e6,1.101
growth_qoq,2019-01-01,e0,-4.401
growth_qoq,2019-01-01,e1,1.264
growth_qoq,2019-01-01,e2,-27.974
growth_qoq,2019-01-01,e3,0.39
growth_qoq,2019-01-01,e5,-8.155
growth_qoq,2019-01-01,e6,-10.845
growth_qoq,2019-04-01,e0,2.508
growth_qoq,2019-04-01,e1,2.473
growth_qoq,2019-04-01,e2,2.592
growth_qoq,2019-04-01,e3,8.786
growth_qoq,2019-04-01,e5,1.818
growth_qoq,2019-04-01,e6,5.624
growth_qoq,2019-07-01,e0,2.873
growth_qoq,2019-07-01,e1,6.914
growth_qoq,2019-07-01,e2,1.883
growth_qoq,2019-07-01,e3,-5.707
growth_qoq,2019-07-01,e5,1.981
growth_qoq,2019-07-01,e6,0.576
growth_qoq,2019-10-01,e0,3.68
growth_qoq,2019-10-01,e1,-1.508
growth_qoq,2019-10-01,e2,34.387
growth_qoq,2019-10-01,e3,-2.592
growth_qoq,2019-10-01,e5,1.729
growth_qoq,2019-10-01,e6,1.818
growth_qoq,2020-01-01,e0,-7.339
growth_qoq,2020-01-01,e1,0.136
growth_qoq,2020-01-01,e2,-24.95
growth_qoq,2020-01-01,e3,-4.217
growth_qoq,2020-01-01,e5,-11.505
growth_qoq,2020-01-01,e6,-9.278
growth_qoq,2020-04-01,e0,-17.463
growth_qoq,2020-04-01,e1,-22.919
growth_qoq,2020-04-01,e2,-2.579
growth_qoq,2020-04-01,e3,-20.121
growth_qoq,2020-04-01,e5,-17.975
growth_qoq,2020-04-01,e6,-15.336
growth_qoq,2020-07-01,e0,21.65
growth_qoq,2020-07-01,e1,28.645
growth_qoq,2020-07-01,e2,10.581
growth_qoq,2020-07-01,e3,19.924
growth_qoq,2020-07-01,e5,23.082
