series,date,sector,value
growth_yoy,2023-01-01,p2,-1.546
growth_yoy,2023-01-01,p3,6.464
growth_yoy,2023-01-01,p4,9.146
growth_yoy,2023-01-01,p5,9.361
growth_yoy,2023-01-01,p6,10.352
growth_yoy,2023-04-01,p0,-1.198
growth_yoy,2023-04-01,p1,-25.953
growth_yoy,2023-04-01,p2,-18.031
growth_yoy,2023-04-01,p3,-0.538
growth_yoy,2023-04-01,p4,8.713
growth_yoy,2023-04-01,p5,5.894
growth_yoy,2023-04-01,p6,5.688
growth_yoy,2023-07-01,p0,1.071
growth_yoy,2023-07-01,p1,-0.052
growth_yoy,2023-07-01,p2,-20.301
growth_yoy,2023-07-01,p3,-2.287
growth_yoy,2023-07-01,p4,9.798
growth_yoy,2023-07-01,p5,5.958
growth_yoy,2023-07-01,p6,8.016
growth_yoy,2023-10-01,p0,1.825
growth_yoy,2023-10-01,p1,1.027
growth_yoy,2023-10-01,p2,-9.594
growth_yoy,2023-10-01,p3,-2.014
growth_yoy,2023-10-01,p4,6.195
growth_yoy,2023-10-01,p5,5.078
growth_yoy,2023-10-01,p6,11.656
growth_yoy,2024-01-01,p0,4.881
growth_yoy,2024-01-01,p1,4.935
growth_yoy,2024-01-01,p2,6.366
growth_yoy,2024-01-01,p3,0.794
growth_yoy,2024-01-01,p4,13.087
growth_yoy,2024-01-01,p5,5.749
growth_yoy,2024-01-01,p6,8.013
growth_yoy,2024-04-01,p0,7.463
growth_yoy,2024-04-01,p1,11.701
growth_yoy,2024-04-01,p2,9.147
growth_yoy,2024-04-01,p3,5.209
growth_yoy,2024-04-01,p4,18.32
growth_yoy,2024-04-01,p5,6.901
growth_yoy,2024-04-01,p6,4.847
growth_yoy,2024-07-01,p0,5.933
growth_yoy,2024-07-01,p1,8.43
growth_yoy,2024-07-01,p2,-5.722
growth_yoy,2024-07-01,p3,5.654
growth_yoy,2024-07-01,p4,20.916
growth_yoy,2024-07-01,p5,5.968
growth_yoy,2024-07-01,p6,21.401
growth_qoq,2015-04-01,p0,2.366
growth_qoq,2015-04-01,p1,12.13
growth_qoq,2015-04-01,p2,-6.505
growth_qoq,2015-04-01,p3,4.603
growth_qoq,2015-04-01,p4,-5.835
growth_qoq,2015-04-01,p5,2.071
growth_qoq,2015-04-01,p6,18.915
growth_qoq,2015-07-01,p0,3.162
growth_qoq,2015-07-01,p1,10.457
growth_qoq,2015-07-01,p2,-8.907
growth_qoq,2015-07-01,p3,2.05
growth_qoq,2015-07-01,p4,10.869
growth_qoq,2015-07-01,p5,4.005
growth_qoq,2015-07-01,p6,-3.363
growth_qoq,2015-10-01,p0,4.084
growth_qoq,2015-10-01,p1,-9.426
growth_qoq,2015-10-01,p2,9.405
