series,date,type,value
abs,2019-07-01,e6.2,46230.0
abs,2019-10-01,e0,396345.0
abs,2019-10-01,e1,232337.0
abs,2019-10-01,e1.1.01,52510.0
abs,2019-10-01,e1.1.03,8194.0
abs,2019-10-01,e1.1.04,32726.0
abs,2019-10-01,e1.1.05,11542.0
abs,2019-10-01,e1.1.07,30416.0
abs,2019-10-01,e1.1.08,18218.0
abs,2019-10-01,e1.1.09,16457.0
abs,2019-10-01,e1.1.11,27996.0
abs,2019-10-01,e1.1.12,34278.0
abs,2019-10-01,e2,55323.0
abs,2019-10-01,e3,84295.0
abs,2019-10-01,e3.1,84295.0
abs,2019-10-01,e3.1.1,48967.0
abs,2019-10-01,e3.1.2,28170.0
abs,2019-10-01,e3.1.3,7158.0
abs,2019-10-01,e3.2,84295.0
abs,2019-10-01,e3.2.1,32854.0
abs,2019-10-01,e3.2.2,51441.0
abs,2019-10-01,e4,-4249.0
abs,2019-10-01,e5,253615.0
abs,2019-10-01,e5.1,211009.0
abs,2019-10-01,e5.2,42606.0
abs,2019-10-01,e6,224975.0
abs,2019-10-01,e6.1,178356.0
abs,2019-10-01,e6.2,46619.0
abs,2020-01-01,e0,367259.0
abs,2020-01-01,e1,232652.0
abs,2020-01-01,e1.1.01,54810.0
abs,2020-01-01,e1.1.03,6756.0
abs,2020-01-01,e1.1.04,34472.0
abs,2020-01-01,e1.1.05,11846.0
abs,2020-01-01,e1.1.07,28184.0
abs,2020-01-01,e1.1.08,19818.0
abs,2020-01-01,e1.1.09,13074.0
abs,2020-01-01,e1.1.11,25315.0
abs,2020-01-01,e1.1.12,38377.0
abs,2020-01-01,e2,41520.0
abs,2020-01-01,e3,80740.0
abs,2020-01-01,e3.1,80741.0
abs,2020-01-01,e3.1.1,49029.0
abs,2020-01-01,e3.1.2,25292.0
abs,2020-01-01,e3.1.3,6420.0
abs,2020-01-01,e3.2,80740.0
abs,2020-01-01,e3.2.1,18332.0
abs,2020-01-01,e3.2.2,62408.0
abs,2020-01-01,e4,-7988.0
abs,2020-01-01,e5,224437.0
abs,2020-01-01,e5.1,190934.0
abs,2020-01-01,e5.2,33503.0
abs,2020-01-01,e6,204102.0
abs,2020-01-01,e6.1,162993.0
abs,2020-01-01,e6.2,41109.0
abs,2020-04-01,e0,303124.0
abs,2020-04-01,e1,179331.0
abs,2020-04-01,e1.1.01,52759.0
abs,2020-04-01,e1.1.03,4377.0
abs,2020-04-01,e1.1.04,32476.0
abs,2020-04-01,e1.1.05,8451.0
abs,2020-04-01,e1.1.07,8698.0
abs,2020-04-01,e1.1.08,19560.0
abs,2020-04-01,e1.1.09,2594.0
abs,2020-04-01,e1.1.11,14684.0
abs,2020-04-01,e1.1.12,35733.0
abs,2020-04-01,e2,40449.0
abs,2020-04-01,e3,64494.0
abs,2020-04-01,e3.1,64494.0
abs,2020-04-01,e3.1.1,33290.0
abs,2020-04-01,e3.1.2,24425.0
abs,2020-04-01,e3.1.3,6779.0
abs,2020-04-01,e3.2,64494.0
abs,2020-04-01,e3.2.1,11089.0
